match_id,inning,batting_team,bowling_team,over,ball,batter,bowler,non_striker,batsman_runs,extra_runs,total_runs,extras_type,is_wicket,player_dismissed,dismissal_kind,fielder
729313,1,Royal Challengers Bangalore,Kings XI Punjab,7,1,Yuvraj Singh,L Balaji,AB de Villiers,0,0,0,,0,,,
548365,2,Pune Warriors,Rajasthan Royals,0,4,SC Ganguly,A Chandila,JD Ryder,1,0,1,,0,,,
734009,1,Mumbai Indians,Kolkata Knight Riders,19,2,RG Sharma,SP Narine,KA Pollard,0,0,0,,1,RG Sharma,bowled,
548373,1,Rajasthan Royals,Deccan Chargers,4,1,SR Watson,MS Gony,R Dravid,0,0,0,,0,,,
548313,2,Kings XI Punjab,Pune Warriors,8,3,Mandeep Singh,M Kartik,AM Nayar,1,1,2,noballs,0,,,
1216518,1,Rajasthan Royals,Sunrisers Hyderabad,19,5,R Tewatia,T Natarajan,JC Archer,1,0,1,,0,,,
1082638,1,Mumbai Indians,Sunrisers Hyderabad,7,6,HH Pandya,Mohammad Nabi,RG Sharma,1,0,1,,0,,,
1136592,1,Delhi Daredevils,Rajasthan Royals,15,5,V Shankar,JC Archer,GJ Maxwell,0,1,1,wides,0,,,
392183,2,Delhi Daredevils,Kings XI Punjab,3,4,G Gambhir,VRV Singh,V Sehwag,1,0,1,,0,,,
1254072,1,Chennai Super Kings,Kolkata Knight Riders,8,4,F du Plessis,CV Varun,RD Gaikwad,1,0,1,,0,,,
501248,2,Pune Warriors,Kings XI Punjab,0,1,JD Ryder,P Kumar,MK Pandey,0,0,0,,0,,,
501225,1,Kochi Tuskers Kerala,Rajasthan Royals,13,2,RA Jadeja,J Botha,PA Patel,1,0,1,,0,,,
829773,1,Sunrisers Hyderabad,Chennai Super Kings,4,3,S Dhawan,RG More,DA Warner,4,0,4,,0,,,
392192,2,Mumbai Indians,Deccan Chargers,7,4,JP Duminy,PP Ojha,SR Tendulkar,0,0,0,,0,,,
501216,1,Deccan Chargers,Delhi Daredevils,11,1,S Sohal,AB Dinda,KC Sangakkara,0,0,0,,0,,,
734037,1,Sunrisers Hyderabad,Kolkata Knight Riders,16,5,JO Holder,Shakib Al Hasan,DJG Sammy,0,0,0,,0,,,
548355,1,Chennai Super Kings,Mumbai Indians,4,6,M Vijay,MM Patel,F du Plessis,6,0,6,,0,,,
392208,2,Royal Challengers Bangalore,Mumbai Indians,5,2,RV Uthappa,SL Malinga,JH Kallis,0,0,0,,0,,,
392229,1,Kings XI Punjab,Deccan Chargers,0,3,S Sohal,RJ Harris,SM Katich,0,1,1,wides,0,,,
419115,1,Rajasthan Royals,Royal Challengers Bangalore,9,2,DR Martyn,DW Steyn,YK Pathan,1,0,1,,0,,,
733993,1,Delhi Daredevils,Sunrisers Hyderabad,1,6,Q de Kock,B Kumar,KP Pietersen,1,0,1,,0,,,
1426283,1,Gujarat Titans,Royal Challengers Bengaluru,13,1,B Sai Sudharsan,Swapnil Singh,M Shahrukh Khan,1,0,1,,0,,,
1082618,1,Rising Pune Supergiant,Mumbai Indians,1,4,RA Tripathi,MJ McClenaghan,AM Rahane,1,0,1,,0,,,
1082633,1,Kings XI Punjab,Royal Challengers Bangalore,10,1,WP Saha,SR Watson,M Vohra,1,0,1,,0,,,
392191,1,Royal Challengers Bangalore,Kings XI Punjab,12,1,JH Kallis,RS Bopara,LRPL Taylor,1,0,1,,0,,,
1082641,2,Mumbai Indians,Kings XI Punjab,15,2,KA Pollard,MJ Henry,HH Pandya,6,0,6,,0,,,
1426289,2,Mumbai Indians,Kolkata Knight Riders,2,5,Naman Dhir,VG Arora,RG Sharma,0,0,0,,0,,,
419108,1,Kings XI Punjab,Delhi Daredevils,5,2,Yuvraj Singh,MF Maharoof,RS Bopara,0,1,1,wides,0,,,
1359482,1,Punjab Kings,Rajasthan Royals,6,2,S Dhawan,R Ashwin,P Simran Singh,0,0,0,,0,,,
419154,1,Rajasthan Royals,Royal Challengers Bangalore,16,1,AC Voges,Pankaj Singh,AS Raut,4,0,4,,0,,,
